Index,Player Name,Team,Salary,Position,Age,GP,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,FOUL,PTS,PER,TS%,USG%,WS,BPM,VORP
428,Chima Moneke,SAC,500000,SF,27,2,4.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,-3.5,0.347,26.2,0.0,-20.7,0.0
429,Facundo Campazzo,DAL,464299,PG,31,8,6.5,0.4,0.231,0.4,0.273,0.0,0.0,0.346,0.1,0.5,0.3,1.1,0.8,0.0,0.4,0.4,1.3,7.8,0.36,14.7,0.0,-1.2,0.0
430,Orlando Robinson,MIA,386055,C,22,31,13.7,1.5,0.528,0.0,0.0,1.5,0.566,0.528,0.7,0.71,4.1,0.8,0.4,0.4,0.5,1.7,3.7,13.4,0.565,12.4,1.1,-2.1,0.0
431,Dru Smith,BRK/MIA,374357,SG,25,15,10.5,1.2,0.4,0.3,0.263,0.9,0.5,0.456,0.2,1.0,1.6,1.5,0.7,0.3,0.2,1.5,2.9,11.4,0.475,13.8,0.3,-0.9,0.0
432,Jared Rhoden,DET,307089,SG,23,14,14.1,1.2,0.386,0.4,0.25,0.9,0.5,0.443,0.4,1.0,2.6,0.3,0.3,0.1,0.2,1.6,3.2,6.5,0.482,10.7,0.1,-6.1,-0.2
433,Louis King,PHI,307089,PF,23,1,29.0,8.0,0.615,4.0,0.5,4.0,0.8,0.769,0.0,0.0,4.0,2.0,1.0,0.0,2.0,4.0,20.0,21.3,0.744,23.8,0.1,2.3,0.0
434,Jarrett Culver,ATL,260295,SF,23,10,13.7,1.7,0.395,0.1,0.083,1.6,0.516,0.407,0.9,0.692,3.8,0.6,0.6,0.2,0.7,1.4,4.4,9.5,0.452,17.1,0.0,-4.2,-0.1
435,Olivier Sarr,OKC,257371,C,23,9,12.7,1.7,0.5,0.1,0.125,1.6,0.636,0.517,0.6,0.714,3.4,0.4,0.1,0.6,0.4,1.9,4.0,11.5,0.544,13.6,0.2,-4.9,-0.1
436,Alondes Williams,BRK,254446,SG,23,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,-20.9,0.0,17.7,-0.1,-26.5,0.0
437,Donovan Williams,ATL,239822,SG,21,2,2.0,1.0,0.4,0.0,0.0,1.0,0.667,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.5,0.4,52.5,0.0,-15.2,0.0
438,Quenton Jackson,WAS,219630,PG,24,9,15.0,2.1,0.452,0.1,0.083,2.0,0.6,0.464,1.9,0.773,0.9,1.7,0.4,0.1,0.4,1.1,6.2,12.2,0.542,17.9,0.2,-5.1,-0.1
439,Chris Silva,DAL,211045,PF,26,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-2.2,1.0,30.1,0.0,-22.6,0.0
440,Tyler Dorsey,DAL,201802,SF,26,3,2.7,1.3,0.8,0.3,0.5,1.0,1.0,0.9,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3.0,45.5,0.9,28.3,0.1,17.8,0.0
441,Braxton Key,DET,201802,SF,25,3,3.0,0.3,1.0,0.0,0.0,0.3,1.0,1.0,0.7,1.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3,18.6,1.064,8.9,0.0,2.9,0.0
442,Jordan Hall,SAS,193027,SF,21,9,9.2,1.0,0.321,0.3,0.2,0.7,0.462,0.375,0.8,0.778,1.3,1.2,0.1,0.0,0.8,0.7,3.1,5.5,0.438,19.4,-0.1,-7.6,-0.1
443,Alize Johnson,SAS,192293,PF,26,4,7.5,0.8,0.5,0.0,0.0,0.8,0.75,0.5,0.3,0.5,2.5,0.3,0.3,0.0,1.0,0.8,1.8,4.3,0.509,15.0,-0.1,-9.1,-0.1
444,Devon Dotson,WAS,169630,PG,23,6,8.8,0.2,0.1,0.2,0.25,0.0,0.0,0.15,0.0,0.0,1.7,1.3,0.8,0.0,0.5,1.5,0.5,4.8,0.15,10.7,0.0,-5.3,0.0
445,Mac McClung,PHI,160856,SG,24,2,20.5,4.5,0.45,2.0,0.364,2.5,0.556,0.55,1.5,0.6,5.0,4.5,0.0,0.0,1.5,1.5,12.5,19.2,0.563,27.5,0.1,0.5,0.0
446,Xavier Cooks,WAS,140384,PF,27,10,12.6,1.7,0.607,0.0,0.0,1.7,0.63,0.607,0.4,0.4,3.8,0.6,0.6,0.4,0.8,1.3,3.8,14.3,0.586,13.9,0.2,-3.6,-0.1
447,Shaquille Harrison,POR,134862,SG,29,5,24.0,3.0,0.417,0.6,0.3,2.4,0.462,0.458,2.2,0.733,4.4,6.0,2.2,0.4,1.2,2.4,8.8,17.9,0.516,17.6,0.3,0.1,0.1
448,Lester Quinones,GSW,129405,SG,22,4,4.5,0.5,0.4,0.5,0.5,0.0,0.0,0.6,1.0,0.667,0.8,0.5,0.3,0.0,1.3,0.0,2.5,8.6,0.654,29.4,0.0,-10.2,0.0
449,Xavier Moon,LAC,116986,SG,28,4,5.0,0.8,0.333,0.3,0.333,0.5,0.333,0.389,0.0,0.0,0.8,1.3,0.0,0.0,0.3,0.5,1.8,7.2,0.389,21.8,0.0,-5.1,0.0
450,Jamaree Bouyea,MIA/WAS,116986,PG,23,5,14.2,1.2,0.429,0.4,0.333,0.8,0.5,0.5,0.2,0.5,1.2,0.8,0.8,0.4,0.8,1.2,3.0,6.5,0.504,11.8,0.0,-4.2,0.0
451,Jay Huff,WAS,116986,C,24,7,13.6,2.1,0.6,0.9,0.5,1.3,0.692,0.72,2.1,0.938,3.0,1.4,0.4,0.6,0.7,2.1,7.3,22.3,0.796,16.9,0.5,4.0,0.1
452,Skylar Mays,POR,116574,PG,25,6,31.5,5.7,0.5,2.0,0.462,3.7,0.524,0.588,2.0,0.923,3.2,8.3,1.0,0.2,1.7,1.8,15.3,19.4,0.624,19.3,0.7,0.0,0.1
453,Frank Jackson,UTA,113114,PG,24,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.8,0.0,25.1,0.0,-22.2,0.0
454,Deonte Burton,SAC,105522,PF,29,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6,0.0,14.3,0.0,-24.2,0.0
